id;название;страна;регион;длительность_дни;стоимость_руб_чел;мин_количество_человек;тип_группы;сезон;тип_проживания;наличие_гида;список_тегов
33;Активный тур в Таиланде;Таиланд;;10;145000;1;соло, компания друзей;зима;глэмпинг, отель;True;активный отдых, природа, экстрим, дайвинг, пляж, океан, джунгли, трекинг, снорклинг, скалолазание, водопады, слоны, красивые места, гид
34;Культурный тур по Таиланду;Таиланд;;6;107700;1;соло, пара, семья с детьми, компания друзей;зима;отель, гостевой дом;True;культура, история, архитектура, экскурсии, мастер-классы, храмы, буддизм, традиции, кулинарные мастер классы, рынки, плавание на лодках, слоны, красивые места, гид
35;Гастрономическое путешествие во Вьетнам;Вьетнам;;10;110500;1;соло, пара, семья с детьми, компания друзей;весна;отель;True;гастрономия, культура, экзотика, мастер-классы, рынки, уличная еда, фо-бо, спринг-роллы, кофе, история, экскурсии, красивые места, гид
36;Пляжный отдых во Вьетнаме;Вьетнам;;9;130050;2;пара, семья с детьми, компания друзей;весна, лето;отель;True;релакс, пляж, природа, дайвинг, спа, ночная жизнь, море, песчаные пляжи, снорклинг, водные виды спорта, рыбалка, красивые места, вьетнамская кухня, экскурсии
37;Экзотический тур в Японии;Япония;;14;120000;1;компания друзей, семья с детьми, соло, пара;осень, весна;глэмпинг;True;экзотика, цветение, природа, релакс, шопинг, культура, история, храмы, сакура, чайные церемонии, онсэн, технологичный туризм, кулинарные мастер классы, красивые места, гид
38;Активный тур в Японии;Япония;;6;102600;2;пара, семья с детьми, компания друзей;весна, осень;палатка, отель;True;активный отдых, природа, трекинг, поход, рафтинг, горы, вулканы, онсэн, бамбуковые леса, водопады, красивые места, гид, кемпинг
39;Активный тур в Узбекистан;Узбекистан;;12;110900;1;соло, пара, компания друзей;весна, осень;глэмпинг, отель;True;активный отдых, природа, экстрим, скалолазание, пустыня, горы, трекинг, каньоны, красивые места, кемпинг, история, шелковый путь, экскурсии, гид
40;Экзотический тур в Узбекистан;Узбекистан;;14;115000;2;пара, семья с детьми, компания друзей;весна, осень;отель, глэмпинг;True;экзотика, фотоохота, природа, история, экскурсии, архитектура, медресе, базары, плов, керамика, пустыня, караваны, гид
41;Северо-Восток Индии;Индия;;15;108684;2;пара, семья с детьми, компания друзей;весна;отель;True;экзотика, природа, шопинг, цветение, релакс, трекинг, водопады, национальные парки, слоны, чайные плантации, культура, красивые места, гид
42;Таинственный малый Тибет;Индия;;11;120625;2;пара, семья с детьми, компания друзей;лето;глэмпинг;True;активный отдых, природа, экстрим, горы, экологичный, буддизм, монастыри, трекинг, высокогорье, панорамы, красивые места, тибетская культура, кемпинг, гид
43;Релакс и природа в Китае;Китай;;6;105000;1;соло, компания друзей;осень, весна;отель;True;релакс, природа, экологичный, история, экскурсии, культура, чай, сады, горы, водопады, красивые места, медитация, йога, здоровье
44;Гастрономическое путешествие в Китай;Китай;;10;115896;2;пара, семья с детьми, компания друзей;осень;отель;True;гастрономия, культура, экзотика, городской, история, экскурсии, мастер-классы, шопинг, утка по-пекински, димсамы, чайная церемония, рынки, гид
45;Экзотический тур на Шри-Ланку;Шри-Ланка;;12;110200;2;пара, семья с детьми, компания друзей;лето, весна;отель, глэмпинг;True;экзотика, фотоохота, природа, шопинг, океан, пляж, слоны, чайные плантации, водопады, буддизм, скалы, красивые места, гид
46;Активный тур на Шри-Ланке;Шри-Ланка;;8;95050;3;компания друзей;лето, осень;глэмпинг, отель;True;активный отдых, природа, экстрим, пляж, океан, серфинг, снорклинг, трекинг, джунгли, водопады, красивые места, кемпинг, гид
47;Выходные в Мурманске;Россия;Мурманск;3;80000;1;соло, пара, семья с детьми, компания друзей;осень, зима;глэмпинг;True;северное сияние, природа, семейный, ледники, релакс, арктика, горы, снег, красивые места, суровая природа, морские прогулки, гид, история
48;Сафари в Кении;Кения;;10;150000;2;пара, компания друзей;лето, осень;глэмпинг, отель;True;сафари, природа, фотоохота, экзотика, наблюдение животных, жирафы, львы, слоны, саванна, национальные парки, кемпинг, гид, дикая природа, африканская культура
49;Восхождение на Килиманджаро;Танзания;;8;180000;2;компания друзей, пара;лето, зима;палатка, глэмпинг;True;альпинизм, трекинг, экстрим, ледники, природа, горы, высокогорье, снег, кемпинг, выносливость, красивые места, гид, восхождение
50;Пляжный отдых на Занзибаре;Танзания;;9;120000;1;соло, пара, компания друзей;зима, лето;отель;False;релакс, пляж, дайвинг, океан, экзотика, специи, старый город, снорклинг, черепахи, водные виды спорта, красивые места, африканская кухня
51;Экскурсионный тур по ЮАР;ЮАР;;12;200000;2;пара, компания друзей;весна, осень;отель, глэмпинг;True;экскурсии, сафари, природа, культура, вино, городской, Столовая гора, Мыс Доброй Надежды, пингвины, винодельни, красивые места, гид
52;Дайвинг на Красном море;Египет;;7;85000;1;соло, пара, компания друзей;зима, весна, осень;отель;True;дайвинг, экстрим, пляж, рифы, морская жизнь, снорклинг, кораллы, рыбы, подводная фотосъемка, море, экскурсии, гид, дайв-центр
53;Культурный тур в Марокко;Марокко;;10;135000;2;пара, компания друзей, семья с детьми;весна, осень;отель, гостевой дом, глэмпинг;True;культура, история, архитектура, экзотика, пустыня, гастрономия, рынки, медины, сады, атласские горы, красивые места, гид
54;Серфинг на Бали;Индонезия;;8;110000;1;соло, компания друзей;лето, осень;отель;True;серфинг, экстрим, пляж, океан, активный отдых, волны, йога, молодежь, тусовка, красивые места, гид, водные виды спорта
55;Йога-ретрит на Бали;Индонезия;;7;95000;1;соло, пара;лето, весна;глэмпинг, гостевой дом;False;йога медитация, релакс, природа, термальные источники, экологичный, рисовые террасы, водопады, вегетарианская еда, здоровье, спа, красивые места, спокойствие
56;Остров Палаван;Филиппины;;9;125000;2;пара, компания друзей;зима, весна;отель, глэмпинг;True;природа, пещеры, экзотика, дайвинг, лагуны, пляж, песчаные пляжи, каякинг, снорклинг, подземная река, красивые места, гид
57;Трекинг в Гималаях;Непал;;14;160000;2;компания друзей, пара;весна, осень;палатка, гостевой дом;True;трекинг, альпинизм, экстрим, горы, природа, культура, буддизм, базовый лагерь Эвереста, высокогорье, кемпинг, красивые места, гид
58;Культурное наследие Малайзии;Малайзия;;10;130000;2;пара, семья с детьми, компания друзей;зима, лето;отель;True;культура, экскурсии, джунгли, наблюдение животных, шопинг, городской, башни Петронас, храмы, пещеры, кулинарные мастер классы, красивые места, гид
59;Мальдивы - овервотер-вилла;Мальдивы;;7;250000;2;пара;зима, весна;отель;False;релакс, романтический, пляж, дайвинг, океан, вилла на воде, бирюзовая вода, уединение, спа, снорклинг, акулы, красивые места, закаты, песчаные пляжи
60;Большой Барьерный риф и Сидней;Австралия;;12;280000;2;пара, компания друзей;весна, осень;отель, глэмпинг;True;дайвинг, рифы, городской, экскурсии, природа, пляж, серфинг, опера, мост харбор, кенгуру, коалы, красивые места, гид
61;Пустыня Аутбэк;Австралия;;8;190000;2;компания друзей, пара;весна, осень;глэмпинг, палатка;True;пустыня, экзотика, фотоохота, экстрим, кемпинг, дикая природа, улуру, красная земля, скалы, аборигены, выживание, красивые места, гид
62;Лемуры и каменный лес;Мадагаскар;;10;165000;2;пара, компания друзей;лето, осень;глэмпинг, отель;True;природа, наблюдение животных, экзотика, эндемики, фотоохота, экологичный, лемуры, баобабы, каменный лес, тропические леса, красивые места, гид
63;Фьорды и хоббитон;Новая Зеландия;;14;250000;2;пара, компания друзей;весна, осень;отель, глэмпинг;True;природа, фьорды, трекинг, экстрим, кинотур, экскурсии, водопады, горы, хоббитон, красивые места, гид, кемпинг
64;Бухта Халонг и Сапа;Вьетнам;;9;95000;1;соло, пара, компания друзей;весна, осень;отель, гостевой дом;True;природа, гастрономия, культура, трекинг, пещеры, бухта Халонг, рисовые террасы, горы, этнические деревни, красивые места, гид, каякинг
65;Слоны и чайные плантации;Шри-Ланка;;8;98000;2;пара, семья с детьми;зима, весна;отель, гостевой дом;True;наблюдение животных, культура, релакс, горы, чай, слоны, водопады, плантации, прогулки, красивые места, гид, пикники
66;Сакура и Киото;Япония;;9;135000;2;пара, компания друзей;весна;отель, гостевой дом;True;цветение, культура, архитектура, экскурсии, гастрономия, релакс, храмы, сады, чайные домики, кимоно, красивые места, гид
67;Драконы острова Комодо;Индонезия;;7;140000;2;компания друзей, пара;лето, весна;глэмпинг, отель;True;наблюдение животных, экзотика, дайвинг, природа, экстрим, комодские вараны, розовый пляж, холмы, красивые места, гид, кемпинг
68;Соло-тур на Байкал: сила и спокойствие;Россия;Байкал;5;105000;1;соло, компания друзей;лето, весна;отель, гостевой дом;True;активный отдых, природа, озера, трекинг, красивые места, одиночное путешествие, гибкий маршрут, кемпинг, экскурсии, гид, йога, релакс
69;Индивидуальный трекинг на Алтае;Россия;Алтай;6;115000;1;соло;лето, осень;палатка, глэмпинг;True;активный отдых, горы, трекинг, экстрим, природа, кемпинг, красивые места, выносливость, гид, лес, реки, водопады, дикая природа
70;Соло-экспедиция на Камчатку;Россия;Камчатка;7;140000;1;соло, компания друзей;лето;глэмпинг, отель;True;вулканы, природа, активный отдых, гейзеры, красивые места, гид, вертолетные туры, наблюдение медведей, океан, термальные источники, соло
71;Один в Карелии: лесные тропы;Россия;Карелия;4;65000;1;соло;лето, весна;глэмпинг, хостел;True;природа, лес, озера, трекинг, активный отдых, экологичный, красивые места, одиночное путешествие, кемпинг, карельская кухня, гид
72;Соло-гастротур по Золотому кольцу;Россия;Золотое кольцо;4;78000;1;соло, компания друзей;весна, лето;отель, гостевой дом;True;гастрономия, история, архитектура, мастер-классы, сыр, вино, культура, экскурсии, городской, прогулки, красивые места, одиночное путешествие
73;Solo-серфинг на Бали;Индонезия;;8;120000;1;соло;лето, осень;отель, хостел;True;серфинг, пляж, океан, активный отдых, экстрим, йога медитация, красивые места, ночная жизнь, молодежь, соло, групповые занятия
74;Путешествие соло по Таиланду;Таиланд;;10;135000;1;соло, компания друзей;зима, весна;отель, гостевой дом;True;культура, экскурсии, пляж, активный отдых, дайвинг, джунгли, слоны, красивые места, гид, тайская кухня, ночная жизнь, соло
75;Индивидуальный тур в Японию: сакура и дзен;Япония;;10;150000;1;соло;весна;отель, гостевой дом;True;культура, цветение, архитектура, экскурсии, гастрономия, релакс, храмы, онсэн, красивые места, гид, технологичный туризм, соло
76;Поход в Гималаи с группой;Непал;;14;170000;1;соло, компания друзей;весна, осень;палатка, гостевой дом;True;трекинг, горы, альпинизм, экстрим, природа, культура, буддизм, красивые места, гид, выносливость, кемпинг, соло
77;Один в Африке: сафари ;Кения;;10;160000;1;соло;лето, осень;глэмпинг, отель;True;сафари, природа, фотоохота, наблюдение животных, экзотика, саванна, гид, национальные парки, красивые места, соло
78;Соло-дайвинг на Красном море;Египет;;7;95000;1;соло;зима, весна, осень;отель;True;дайвинг, экстрим, пляж, рифы, морская жизнь, подводная фотосъемка, гид, дайв-центр, соло, активный отдых
79;Индивидуальное путешествие в Марокко;Марокко;;10;140000;1;соло;весна, осень;отель, гостевой дом;True;культура, история, архитектура, экзотика, пустыня, гастрономия, рынки, красивые места, гид, соло, медины
80;Соло-тур в Австралию: от рифов до аутбэка;Австралия;;12;290000;1;соло;весна, осень;отель, глэмпинг;True;дайвинг, рифы, природа, пустыня, экскурсии, городской, кенгуру, красивые места, гид, одиночное путешествие, активный отдых
81;Один на острове Палаван;Филиппины;;9;130000;1;соло;зима, весна;отель, глэмпинг;True;природа, пещеры, экзотика, дайвинг, лагуны, пляж, красивые места, гид, соло, каякинг, песчаные пляжи
82;Solo-трекинг в Новой Зеландии;Новая Зеландия;;14;260000;1;соло;весна, осень;глэмпинг, палатка;True;природа, фьорды, трекинг, экстрим, кинотур, красивые места, гид, горы, озера, кемпинг, соло
83;Индивидуальный тур на Мадагаскар;Мадагаскар;;10;170000;1;соло;лето, осень;глэмпинг, отель;True;природа, наблюдение животных, экзотика, эндемики, лемуры, баобабы, красивые места, гид, соло, экологичный
84;Соло-йога-ретрит на Шри-Ланке;Шри-Ланка;;8;100000;1;соло;зима, весна;отель, гостевой дом;False;йога медитация, релакс, природа, пляж, океан, наблюдение животных, чайные плантации, красивые места, соло, вегетарианская еда
85;Один в Южной Корее: остров Чеджу;Южная Корея;;7;160000;1;соло;весна, лето;отель, глэмпинг;True;релакс, природа, вулканы, водопады, пешие прогулки, культура, красивые места, гид, соло, цветение, корейская кухня
86;Экскурсионный тур по Узбекистану;Узбекистан;;10;120000;1;соло;весна, осень;отель;True;история, архитектура, экскурсии, шелковый путь, культура, гастрономия, базары, красивые места, гид, соло, городской
87;Один в Сочи: горы и море для себя;Россия;Сочи;5;85000;1;соло;весна, лето;отель;True;городской, море, пляж, горы, трекинг, активный отдых, экскурсии, парки, олимпийские объекты, красивые места, соло, ночная жизнь
